storm_id,usa_atcf_id,date,tclat,tclon
Arlene-2017,AL012017,2017-04-17T21:30:00Z,32.17124107886833,-44.91456970739338
Arlene-2017,AL012017,2017-04-17T21:45:00Z,32.16393230504668,-44.89040243701382
Arlene-2017,AL012017,2017-04-17T22:00:00Z,32.15673481322901,-44.866786179831614
Arlene-2017,AL012017,2017-04-17T22:15:00Z,32.14962226149172,-44.843740164201115
Arlene-2017,AL012017,2017-04-17T22:30:00Z,32.14256830791124,-44.82128361847666
Arlene-2017,AL012017,2017-04-17T22:45:00Z,32.135546610563964,-44.799435771012604
Arlene-2017,AL012017,2017-04-17T23:00:00Z,32.1285308275263,-44.778215850163264
Arlene-2017,AL012017,2017-04-17T23:15:00Z,32.121494616874664,-44.757643084282996
Arlene-2017,AL012017,2017-04-17T23:30:00Z,32.11441163668546,-44.737736701726135
Arlene-2017,AL012017,2017-04-17T23:45:00Z,32.1072555450351,-44.718515930847026
Arlene-2017,AL012017,2017-04-18T00:00:00Z,32.1,-44.7
Arlene-2017,AL012017,2017-04-18T00:15:00Z,32.092623901127745,-44.6821996694122
Arlene-2017,AL012017,2017-04-18T00:30:00Z,32.08512711385064,-44.66509182680189
Arlene-2017,AL012017,2017-04-18T00:45:00Z,32.077514745072186,-44.64864489176014
Arlene-2017,AL012017,2017-04-18T01:00:00Z,32.06979190169588,-44.63282728387803
Arlene-2017,AL012017,2017-04-18T01:15:00Z,32.061963690625205,-44.61760742274661
Arlene-2017,AL012017,2017-04-18T01:30:00Z,32.054035218763666,-44.60295372795695
Arlene-2017,AL012017,2017-04-18T01:45:00Z,32.04601159301475,-44.58883461910012
Arlene-2017,AL012017,2017-04-18T02:00:00Z,32.03789792028195,-44.57521851576718
Arlene-2017,AL012017,2017-04-18T02:15:00Z,32.02969930746876,-44.56207383754921
Arlene-2017,AL012017,2017-04-18T02:30:00Z,32.02142086147868,-44.54936900403725
Arlene-2017,AL012017,2017-04-18T02:45:00Z,32.0130676892152,-44.5370724348224
Arlene-2017,AL012017,2017-04-18T03:00:00Z,32.004644897581805,-44.52515254949571
Arlene-2017,AL012017,2017-04-18T03:15:00Z,31.996157593482,-44.513577767648236
Arlene-2017,AL012017,2017-04-18T03:30:00Z,31.987610883819276,-44.50231650887106
Arlene-2017,AL012017,2017-04-18T03:45:00Z,31.979009875497123,-44.491337192755246
Arlene-2017,AL012017,2017-04-18T04:00:00Z,31.97035967541904,-44.480608238891854
Arlene-2017,AL012017,2017-04-18T04:15:00Z,31.961665390488516,-44.470098066871955
Arlene-2017,AL012017,2017-04-18T04:30:00Z,31.952932127609046,-44.45977509628661
Arlene-2017,AL012017,2017-04-18T04:45:00Z,31.944164993684122,-44.4496077467269
Arlene-2017,AL012017,2017-04-18T05:00:00Z,31.93536909561724,-44.439564437783865
Arlene-2017,AL012017,2017-04-18T05:15:00Z,31.926549540311893,-44.4296135890486
Arlene-2017,AL012017,2017-04-18T05:30:00Z,31.917711434671574,-44.41972362011215
Arlene-2017,AL012017,2017-04-18T05:45:00Z,31.908859885599778,-44.409862950565596
Arlene-2017,AL012017,2017-04-18T06:00:00Z,31.9,-44.4
Arlene-2017,AL012017,2017-04-18T06:15:00Z,31.89112978554712,-44.390104598899256
Arlene-2017,AL012017,2017-04-18T06:30:00Z,31.882218853001586,-44.380152221318596
Arlene-2017,AL012017,2017-04-18T06:45:00Z,31.87322971389524,-44.37011975220608
Arlene-2017,AL012017,2017-04-18T07:00:00Z,31.864124879759917,-44.35998407650977
Arlene-2017,AL012017,2017-04-18T07:15:00Z,31.85486686212746,-44.34972207917772
Arlene-2017,AL012017,2017-04-18T07:30:00Z,31.8454181725297,-44.339310645158
Arlene-2017,AL012017,2017-04-18T07:45:00Z,31.83574132249848,-44.32872665939866
